exper	bloc	varied	y
1	1	CP34-120	46.6
1	1	NA56-30	61.1
1	1	NA56-79	74.2
1	1	Tuc5619	50.2
1	1	CP44-101	40.3
1	1	NA56-35	37.5
1	1	NA56-68	69.6
1	2	CP34-120	45.7
1	2	NA56-30	72.1
1	2	NA56-79	74.3
1	2	Tuc5619	37.3
1	2	CP44-101	38.7
1	2	NA56-35	40.1
1	2	NA56-68	61
1	3	CP34-120	49.6
1	3	NA56-30	51.3
1	3	NA56-79	100.7
1	3	Tuc5619	66.1
1	3	CP44-101	35.1
1	3	NA56-35	36.9
1	3	NA56-68	59.3
2	1	CP34-120	55.2
2	1	NA56-30	62.7
2	1	NA56-79	63.4
2	1	Tuc5619	62
2	1	NA56-62	71
2	1	NA59-17	59.5
2	1	NA59-44	73.2
2	1	NA59-60	47.6
2	2	CP34-120	51.2
2	2	NA56-30	83
2	2	NA56-79	81.7
2	2	Tuc5619	69.1
2	2	NA56-62	72.9
2	2	NA59-17	83
2	2	NA59-44	98.6
2	2	NA59-60	37.7
2	3	CP34-120	48
2	3	NA56-30	75.1
2	3	NA56-79	110.3
2	3	Tuc5619	77.9
2	3	NA56-62	81.6
2	3	NA59-17	82.9
2	3	NA59-44	81
2	3	NA59-60	42.3
2	4	CP34-120	62
2	4	NA56-30	69.5
2	4	NA56-79	98
2	4	Tuc5619	74.6
2	4	NA56-62	77.5
2	4	NA59-17	89.8
2	4	NA59-44	85.9
2	4	NA59-60	42.8
