bloc	trat	N	P	K	calc	micro	prod
1	000	0	0	0	0	0	981
1	012	0	1	2	0	0	1216
1	021	0	2	1	0	0	1183
1	101	1	0	1	0	0	1213
1	110	1	1	0	0	0	1028
1	122	1	2	2	0	0	1574
1	202	2	0	2	0	0	1111
1	211	2	1	1	0	0	1333
1	220	2	2	0	0	0	1775
2	001	0	0	1	0	0	1213
2	010	0	1	0	0	0	1510
2	022	0	2	2	0	0	901
2	102	1	0	2	0	0	1404
2	111	1	1	1	0	0	1602
2	120	1	2	0	0	0	1214
2	200	2	0	0	0	0	1221
2	212	2	1	2	0	0	1694
2	221	2	2	1	0	0	1593
3	002	0	0	2	0	0	808
3	011	0	1	1	0	0	942
3	020	0	2	0	0	0	998
3	100	1	0	0	0	0	1327
3	112	1	1	2	0	0	1019
3	121	1	2	1	0	0	1401
3	201	2	0	1	0	0	1120
3	210	2	1	0	0	0	1444
3	222	2	2	2	0	0	1343
1	000	0	0	0	0	0	1290
1	111	1	1	1	0	0	1314
1	111+C	1	1	1	1	0	1296
1	111+M	1	1	1	0	1	1237
1	111+C+M	1	1	1	1	1	1324
2	000	0	0	0	0	0	1039
2	111	1	1	1	0	0	680
2	111+C	1	1	1	1	0	1324
2	111+M	1	1	1	0	1	1333
2	111+C+M	1	1	1	1	1	1079
3	000	0	0	0	0	0	947
3	111	1	1	1	0	0	1178
3	111+C	1	1	1	1	0	947
3	111+M	1	1	1	0	1	1241
3	111+C+M	1	1	1	1	1	949
