linhas	colunas	adub	prod
1	1	110	79.80
2	1	111	83.73
3	1	00	73.79
4	1	010	77.93
5	1	10	73.50
6	1	011	64.47
1	2	00	59.52
2	2	10	69.85
3	2	111	53.60
4	2	110	87.24
5	2	011	81.25
6	2	010	81.31
1	3	011	78.65
2	3	010	74.05
3	3	110	72.17
4	3	10	67.54
5	3	00	65.70
6	3	111	85.61
1	4	111	72.91
2	4	00	77.25
3	4	010	84.12
4	4	011	89.87
5	4	110	76.57
6	4	10	74.55
1	5	10	76.93
2	5	110	84.46
3	5	011	86.99
4	5	111	82.99
5	5	010	77.67
6	5	00	63.81
1	6	010	85.66
2	6	011	81.10
3	6	10	69.41
4	6	00	72.16
5	6	111	81.05
6	6	110	89.91
