bloco	rept	N	P	K	prod
1	1	0	0	0	37
1	1	0	1	2	42.6
1	1	0	2	1	68.4
1	1	1	0	1	33.5
1	1	1	1	0	45.7
1	1	1	2	2	49.7
1	1	2	0	2	36.2
1	1	2	1	1	47.4
1	1	2	2	0	59
1	2	0	0	0	29.3
1	2	0	1	2	37
1	2	0	2	1	64.4
1	2	1	0	1	28.6
1	2	1	1	0	61.3
1	2	1	2	2	52.8
1	2	2	0	2	35.2
1	2	2	1	1	55.4
1	2	2	2	0	56.2
2	1	0	0	1	60.2
2	1	0	1	0	57.6
2	1	0	2	2	76
2	1	1	0	2	42.8
2	1	1	1	1	63.4
2	1	1	2	0	58.2
2	1	2	0	0	56.6
2	1	2	1	2	69.1
2	1	2	2	1	59.4
2	2	0	0	1	39.1
2	2	0	1	0	19.5
2	2	0	2	2	66
2	2	1	0	2	27.7
2	2	1	1	1	63
2	2	1	2	0	53.4
2	2	2	0	0	30.5
2	2	2	1	2	49.5
2	2	2	2	1	43.2
3	1	0	0	2	28.3
3	1	0	1	1	66.6
3	1	0	2	0	66.8
3	1	1	0	0	32.6
3	1	1	1	2	63.4
3	1	1	2	1	71.1
3	1	2	0	1	41.3
3	1	2	1	0	50.2
3	1	2	2	2	55.4
3	2	0	0	2	24.3
3	2	0	1	1	41.8
3	2	0	2	0	55.1
3	2	1	0	0	37
3	2	1	1	2	50.8
3	2	1	2	1	56.8
3	2	2	0	1	36.9
3	2	2	1	0	67.2
3	2	2	2	2	69.5
