bloco	N	P	K	quad
1	-1	-1	-1	10.20
1	1	-1	-1	5.39
1	-1	1	-1	8.54
1	-1	-1	1	8.83
1	1	1	-1	8.43
1	1	-1	1	2.24
1	-1	1	1	6.63
1	1	1	1	4.36
2	-1	-1	-1	7.55
2	1	-1	-1	7.62
2	-1	1	-1	12.45
2	-1	-1	1	6.71
2	1	1	-1	3.61
2	1	-1	1	3.16
2	-1	1	1	6.24
2	1	1	1	2.00
3	-1	-1	-1	7.62
3	1	-1	-1	4.69
3	-1	1	-1	7.28
3	-1	-1	1	3.74
3	1	1	-1	5.00
3	1	-1	1	1.00
3	-1	1	1	3.87
3	1	1	1	1.73
4	-1	-1	-1	10.54
4	1	-1	-1	3.32
4	-1	1	-1	8.37
4	-1	-1	1	3.00
4	1	1	-1	4.58
4	1	-1	1	1.00
4	-1	1	1	3.32
4	1	1	1	2.65
5	-1	-1	-1	8.00
5	1	-1	-1	5.48
5	-1	1	-1	8.00
5	-1	-1	1	9.43
5	1	1	-1	8.00
5	1	-1	1	3.87
5	-1	1	1	9.17
5	1	1	1	2.65
6	-1	-1	-1	4.58
6	1	-1	-1	4.24
6	-1	1	-1	6.08
6	-1	-1	1	3.87
6	1	1	-1	4.80
6	1	-1	1	2.24
6	-1	1	1	3.16
6	1	1	1	0.00
