ano	bloco	cultura	prod
1	1	MucunaPreta	86.8
1	1	FeijaoDePorco	44.0
1	1	CrotalariaJuncea	102.4
1	1	Guandu	68.4
1	1	TephrosiaCandida	34.0
1	1	Soja	33.0
1	1	CrotalariaGrantiana	25.8
1	1	Milho	138.8
2	1	MucunaPreta	90.2
2	1	FeijaoDePorco	83.8
2	1	CrotalariaJuncea	120.2
2	1	Guandu	91.0
2	1	TephrosiaCandida	57.2
2	1	Soja	33.6
2	1	CrotalariaGrantiana	77.0
2	1	Milho	110.2
1	2	MucunaPreta	76.8
1	2	FeijaoDePorco	56.6
1	2	CrotalariaJuncea	90.8
1	2	Guandu	55.2
1	2	TephrosiaCandida	32.4
1	2	Soja	34.8
1	2	CrotalariaGrantiana	21.6
1	2	Milho	106.4
2	2	MucunaPreta	94.0
2	2	FeijaoDePorco	72.2
2	2	CrotalariaJuncea	104.6
2	2	Guandu	78.8
2	2	TephrosiaCandida	54.0
2	2	Soja	33.2
2	2	CrotalariaGrantiana	62.4
2	2	Milho	80.0
1	3	MucunaPreta	88.6
1	3	FeijaoDePorco	52.4
1	3	CrotalariaJuncea	92.0
1	3	Guandu	49.0
1	3	TephrosiaCandida	24.4
1	3	Soja	32.0
1	3	CrotalariaGrantiana	19.2
1	3	Milho	108.0
2	3	MucunaPreta	86.4
2	3	FeijaoDePorco	88.6
2	3	CrotalariaJuncea	112.0
2	3	Guandu	83.4
2	3	TephrosiaCandida	50.8
2	3	Soja	33.4
2	3	CrotalariaGrantiana	63.6
2	3	Milho	92.0
1	4	MucunaPreta	81.6
1	4	FeijaoDePorco	52.2
1	4	CrotalariaJuncea	84.8
1	4	Guandu	61.2
1	4	TephrosiaCandida	30.0
1	4	Soja	33.6
1	4	CrotalariaGrantiana	21.0
1	4	Milho	81.8
2	4	MucunaPreta	82.2
2	4	FeijaoDePorco	83.2
2	4	CrotalariaJuncea	113.6
2	4	Guandu	91.2
2	4	TephrosiaCandida	46.2
2	4	Soja	42.6
2	4	CrotalariaGrantiana	63.4
2	4	Milho	90.6
