linha	coluna	varied	adub	prod
1	1	Co 3X	1	290.4
1	1	Co 3X	0	261.6
1	2	F 42-68	1	134.4
1	2	F 42-68	0	124.8
1	3	CB 38-22	1	144
1	3	CB 38-22	0	168
1	4	Co 419	1	264
1	4	Co 419	0	244.8
1	5	CP 36-24	1	223.2
1	5	CP 36-24	0	146.4
2	1	CB 38-22	1	153.6
2	1	CB 38-22	0	120
2	2	CP 36-24	1	218.4
2	2	CP 36-24	0	168
2	3	Co 3X	1	223.2
2	3	Co 3X	0	206.4
2	4	F 42-68	1	122.4
2	4	F 42-68	0	117.6
2	5	Co 419	1	223.2
2	5	Co 419	0	230.4
3	1	Co 419	1	292.8
3	1	Co 419	0	230.4
3	2	CB 38-22	1	105.6
3	2	CB 38-22	0	98.4
3	3	CP 36-24	1	158.4
3	3	CP 36-24	0	105.6
3	4	Co 3X	1	309.6
3	4	Co 3X	0	228
3	5	F 42-68	1	120
3	5	F 42-68	0	127.2
4	1	F 42-68	1	170.4
4	1	F 42-68	0	196.8
4	2	Co 3X	1	292.8
4	2	Co 3X	0	192
4	3	Co 419	1	278.4
4	3	Co 419	0	172.8
4	4	CP 36-24	1	175.2
4	4	CP 36-24	0	199.2
4	5	CB 38-22	1	175.2
4	5	CB 38-22	0	199.2
5	1	CP 36-24	1	312
5	1	CP 36-24	0	165.6
5	2	Co 419	1	259.2
5	2	Co 419	0	206.4
5	3	F 42-68	1	151.2
5	3	F 42-68	0	144
5	4	CB 38-22	1	165.6
5	4	CB 38-22	0	177.6
5	5	Co 3X	1	312
5	5	Co 3X	0	184.8
