direcao	varied	brix
norte	carlota	18.0
norte	carlota	17.5
norte	carlota	17.8
norte	extrema	16.3
norte	extrema	16.6
norte	extrema	15.0
norte	oliveira	16.0
norte	oliveira	19.5
norte	oliveira	16.3
norte	bourbon	16.6
norte	bourbon	15.9
norte	bourbon	17.5
norte	imperial	18.9
norte	imperial	18.5
norte	imperial	21.5
sul	carlota	17.1
sul	carlota	18.8
sul	carlota	16.9
sul	extrema	15.9
sul	extrema	14.3
sul	extrema	14.0
sul	oliveira	16.2
sul	oliveira	14.9
sul	oliveira	16.4
sul	bourbon	15.2
sul	bourbon	13.2
sul	bourbon	15.8
sul	imperial	18.6
sul	imperial	13.7
sul	imperial	16.4
leste	carlota	17.6
leste	carlota	18.1
leste	carlota	17.6
leste	extrema	16.5
leste	extrema	16.3
leste	extrema	15.9
leste	oliveira	17.9
leste	oliveira	15.0
leste	oliveira	16.0
leste	bourbon	14.2
leste	bourbon	18.0
leste	bourbon	16.7
leste	imperial	15.3
leste	imperial	18.2
leste	imperial	18.3
oeste	carlota	17.6
oeste	carlota	17.2
oeste	carlota	16.5
oeste	extrema	18.3
oeste	extrema	17.5
oeste	extrema	15.2
oeste	oliveira	16.1
oeste	oliveira	15.3
oeste	oliveira	16.4
oeste	bourbon	15.5
oeste	bourbon	17.3
oeste	bourbon	18.4
oeste	imperial	17.0
oeste	imperial	18.3
oeste	imperial	16.6
