bloc	cult	prod
1	1	8.39
1	9	7.66
1	17	8.7
1	25	5.21
1	33	8.69
2	2	6.19
2	10	4.4
2	18	3.69
2	26	6.75
2	34	6.85
3	3	4.56
3	11	3.03
3	19	3.15
3	27	2
3	35	3.85
4	4	3.82
4	12	3.77
4	20	9.56
4	28	3.61
4	36	2.24
5	5	4.05
5	13	9.36
5	21	3.95
5	29	3.42
5	37	4.24
6	6	3
6	14	3.51
6	22	3.71
6	30	4.33
6	38	4.4
7	7	4.08
7	15	5.39
7	23	3.01
7	31	4.47
7	39	3.63
8	8	9.23
8	16	5.38
8	24	4.94
8	32	4.96
8	40	3.04
1	1	9.29
1	10	5.48
1	20	9.66
1	29	4.62
1	38	3.66
2	2	6.02
2	11	4.03
2	21	4.54
2	30	5.07
2	39	5.22
3	3	4.43
3	12	4.37
3	22	4.71
3	31	3.91
3	40	3.7
4	4	4.23
4	13	9.14
4	23	4.68
4	32	7.92
4	33	3.97
5	5	5.43
5	14	5.58
5	24	5.47
5	25	5.47
5	34	5.39
6	6	6.38
6	15	4.72
6	17	8.69
6	26	7.21
6	35	5.55
7	7	5.81
7	16	5
7	18	5.82
7	27	4.98
7	36	5.9
8	8	9.57
8	9	5.68
8	19	6.25
8	28	5.89
8	37	5.21
1	1	8.4
1	11	3.03
1	24	2.9
1	31	2.45
1	36	2.25
2	2	9.21
2	12	6.75
2	17	9.2
2	32	7.95
2	37	7.25
3	3	4.8
3	13	9.35
3	18	3.7
3	25	5
3	38	4
4	4	3.5
4	14	3.4
4	19	4
4	26	6
4	39	3.5
5	5	4
5	15	5.5
5	20	2.6
5	27	2.4
5	40	3.5
6	6	3.2
6	16	5.5
6	21	4
6	28	4
6	33	4.7
7	7	4.2
7	9	3.8
7	22	3.71
7	29	3.42
7	34	7
8	8	8.5
8	10	4.5
8	23	3.5
8	30	4.5
8	35	5
