parc	rept	bloc	cult	prod
1	1	1	1	4.390
2	1	1	2	3.660
3	1	1	3	2.000
4	1	1	4	1.915
5	1	1	5	4.690
6	1	1	6	6.190
7	1	2	7	4.400
8	1	2	8	3.690
9	1	2	9	6.750
10	1	2	10	6.850
11	1	2	11	5.860
12	1	2	12	3.970
13	1	3	13	4.150
14	1	3	14	2.000
15	1	3	15	4.850
16	1	3	16	3.820
17	1	3	17	3.770
18	1	3	18	2.565
19	1	4	19	3.610
20	1	4	20	2.240
21	1	4	21	4.050
22	1	4	22	3.360
23	1	4	23	3.955
24	1	4	24	0.790
25	1	5	25	4.240
26	1	5	26	3.005
27	1	5	27	3.510
28	1	5	28	2.940
29	1	5	29	3.330
30	1	5	30	4.400
31	1	6	31	4.085
32	1	6	32	3.390
33	1	6	33	3.010
34	1	6	34	4.475
35	1	6	35	3.630
36	1	6	36	5.230
37	2	2	8	5.620
38	2	2	20	5.230
39	2	2	2	4.940
40	2	2	14	5.220
41	2	2	26	5.580
42	2	2	32	4.690
43	2	3	9	4.600
44	2	3	21	6.140
45	2	3	15	5.730
46	2	3	27	5.470
47	2	3	3	4.960
48	2	3	33	6.210
49	2	1	19	5.700
50	2	1	1	5.385
51	2	1	31	4.720
52	2	1	7	4.660
53	2	1	25	5.435
54	2	1	13	5.170
55	2	5	11	3.830
56	2	5	23	4.920
57	2	5	5	4.290
58	2	5	17	4.710
59	2	5	35	5.810
60	2	5	29	5.390
61	2	4	10	4.720
62	2	4	16	5.370
63	2	4	4	4.040
64	2	4	22	4.680
65	2	4	28	5.470
66	2	4	34	5.550
67	2	6	6	6.480
68	2	6	18	3.910
69	2	6	36	6.000
70	2	6	12	6.040
71	2	6	24	3.970
72	2	6	30	6.380
