milh	feij	bloc	prod	plant
BR201	E645	1	8268	20
BR201	E585	1	7170	20
BR201	Carioca	1	10646	20
Cruzeta	E645	1	4211	18
Cruzeta	E585	1	5357	20
Cruzeta	Carioca	1	5589	18
C515	E645	1	6040	21
C515	E585	1	7006	19
C515	Carioca	1	7445	20
C606	E645	1	7392	20
C606	E585	1	6752	20
C606	Carioca	1	4520	20
BR201	E645	2	4557	16
BR201	E585	2	7207	20
BR201	Carioca	2	6469	20
Cruzeta	E645	2	5430	20
Cruzeta	E585	2	5703	20
Cruzeta	Carioca	2	5128	20
C515	E645	2	7243	20
C515	E585	2	7956	20
C515	Carioca	2	8059	20
C606	E645	2	6464	20
C606	E585	2	5670	18
C606	Carioca	2	7194	21
BR201	E645	3	6249	20
BR201	E585	3	7663	14
BR201	Carioca	3	9732	23
Cruzeta	E645	3	5166	20
Cruzeta	E585	3	5545	19
Cruzeta	Carioca	3	6027	20
C515	E645	3	7561	19
C515	E585	3	6826	19
C515	Carioca	3	8690	21
C606	E645	3	6063	20
C606	E585	3	6410	19
C606	Carioca	3	7336	21
