fam	rept	plant	prod
1	1	1	4.5
2	1	1	5.0
3	1	1	6.4
4	1	1	3.3
5	1	1	0.9
6	1	1	1.4
7	1	1	4.3
8	1	1	7.4
9	1	1	4.9
10	1	1	1.6
11	1	1	0.6
12	1	1	6.8
13	1	1	8.0
14	1	1	9.6
15	1	1	2.5
16	1	1	3.6
17	1	1	2.2
18	1	1	12.8
19	1	1	2.5
20	1	1	2.8
21	1	1	3.4
22	1	1	4.4
23	1	1	3.9
24	1	1	19.1
1	1	2	9.6
2	1	2	10.7
3	1	2	6.5
4	1	2	6.6
5	1	2	4.0
6	1	2	2.1
7	1	2	5.8
8	1	2	8.4
9	1	2	1.1
10	1	2	14.8
11	1	2	4.0
12	1	2	8.0
13	1	2	24.4
14	1	2	8.4
15	1	2	1.9
16	1	2	3.5
17	1	2	8.0
18	1	2	3.9
19	1	2	18.4
20	1	2	2.6
21	1	2	2.0
22	1	2	3.9
23	1	2	6.5
24	1	2	0.3
1	1	3	2.6
2	1	3	6.3
3	1	3	17.3
4	1	3	4.2
5	1	3	2.2
6	1	3	5.9
7	1	3	2.6
8	1	3	8.3
9	1	3	1.1
10	1	3	0.2
11	1	3	6.4
12	1	3	6.5
13	1	3	12.2
14	1	3	10.7
15	1	3	6.2
16	1	3	7.8
17	1	3	10.8
18	1	3	8.3
19	1	3	17.5
20	1	3	4.5
21	1	3	3.1
22	1	3	1.8
23	1	3	4.4
24	1	3	4.2
1	1	4	19.0
2	1	4	5.2
3	1	4	4.4
4	1	4	2.1
5	1	4	10.1
6	1	4	4.7
7	1	4	1.4
8	1	4	2.6
9	1	4	6.6
10	1	4	4.1
11	1	4	8.1
12	1	4	3.6
13	1	4	3.0
14	1	4	12.6
15	1	4	3.2
16	1	4	3.1
17	1	4	11.6
18	1	4	2.9
19	1	4	15.6
20	1	4	1.7
21	1	4	4.7
22	1	4	3.4
23	1	4	3.7
24	1	4	3.2
1	1	5	8.3
2	1	5	5.1
3	1	5	6.2
4	1	5	3.2
5	1	5	1.9
6	1	5	5.1
7	1	5	7.3
8	1	5	6.7
9	1	5	6.0
10	1	5	6.3
11	1	5	
12	1	5	2.0
13	1	5	4.2
14	1	5	3.8
15	1	5	4.1
16	1	5	3.5
17	1	5	6.9
18	1	5	1.3
19	1	5	6.8
20	1	5	3.4
21	1	5	2.8
22	1	5	4.4
23	1	5	5.3
24	1	5	8.3
1	2	1	6.6
2	2	1	3.4
3	2	1	5.8
4	2	1	1.8
5	2	1	2.8
6	2	1	7.4
7	2	1	5.7
8	2	1	4.8
9	2	1	5.5
10	2	1	3.3
11	2	1	5.1
12	2	1	3.3
13	2	1	12.3
14	2	1	2.2
15	2	1	2.4
16	2	1	3.4
17	2	1	5.7
18	2	1	6.6
19	2	1	3.5
20	2	1	3.0
21	2	1	3.2
22	2	1	11.0
23	2	1	9.1
24	2	1	4.7
1	2	2	5.1
2	2	2	7.4
3	2	2	4.8
4	2	2	4.7
5	2	2	6.6
6	2	2	6.3
7	2	2	21.6
8	2	2	9.5
9	2	2	3.2
10	2	2	5.3
11	2	2	1.4
12	2	2	2.4
13	2	2	8.9
14	2	2	3.7
15	2	2	10.5
16	2	2	5.9
17	2	2	2.7
18	2	2	4.5
19	2	2	5.9
20	2	2	7.6
21	2	2	9.0
22	2	2	8.3
23	2	2	15.1
24	2	2	4.5
1	2	3	4.2
2	2	3	11.4
3	2	3	6.5
4	2	3	5.7
5	2	3	9.7
6	2	3	3.2
7	2	3	6.1
8	2	3	5.5
9	2	3	7.8
10	2	3	6.0
11	2	3	3.8
12	2	3	9.5
13	2	3	6.3
14	2	3	3.2
15	2	3	4.1
16	2	3	3.2
17	2	3	5.0
18	2	3	10.9
19	2	3	9.4
20	2	3	3.3
21	2	3	10.0
22	2	3	4.8
23	2	3	11.2
24	2	3	2.7
1	2	4	5.5
2	2	4	13.4
3	2	4	7.7
4	2	4	5.0
5	2	4	3.3
6	2	4	4.8
7	2	4	6.8
8	2	4	4.6
9	2	4	7.0
10	2	4	3.4
11	2	4	1.0
12	2	4	2.2
13	2	4	17.3
14	2	4	1.5
15	2	4	2.0
16	2	4	12.4
17	2	4	7.9
18	2	4	6.8
19	2	4	5.2
20	2	4	6.0
21	2	4	3.3
22	2	4	4.7
23	2	4	6.5
24	2	4	1.6
1	2	5	7.7
2	2	5	9.7
3	2	5	
4	2	5	3.1
5	2	5	6.3
6	2	5	4.5
7	2	5	
8	2	5	13.3
9	2	5	6.1
10	2	5	6.5
11	2	5	2.8
12	2	5	5.9
13	2	5	7.6
14	2	5	2.5
15	2	5	3.5
16	2	5	3.5
17	2	5	1.9
18	2	5	4.8
19	2	5	6.9
20	2	5	8.0
21	2	5	5.0
22	2	5	1.3
23	2	5	2.2
24	2	5	3.5
