ger	bloc	pop	prod
F2	1	A	1501.3
F2	2	A	1275.9
F2	3	A	1374.7
F2	1	B	755.6
F2	2	B	1447.2
F2	3	B	1793.4
F2	1	C	1220.3
F2	2	C	1579.1
F2	3	C	1789.6
F2	1	D	1481.4
F2	2	D	1948.1
F2	3	D	1321.2
F2	1	E	728.8
F2	2	E	1971.6
F2	3	E	1641.9
F2	1	F	783.3
F2	2	F	1879.6
F2	3	F	2125.5
F3	1	A	420.0
F3	2	A	1175.0
F3	3	A	1245.0
F3	4	A	1350.0
F3	1	B	1420.0
F3	2	B	1750.0
F3	3	B	1315.0
F3	4	B	837.5
F3	1	C	800.0
F3	2	C	920.0
F3	3	C	785.0
F3	4	C	1222.5
F3	1	D	1262.5
F3	2	D	352.6
F3	3	D	1475.0
F3	4	D	982.5
F3	1	E	880.0
F3	2	E	1582.5
F3	3	E	1115.0
F3	4	E	925.0
F3	1	F	845.0
F3	2	F	1420.0
F3	3	F	787.5
F3	4	F	1527.5
F4	1	A	1100.0
F4	2	A	940.0
F4	3	A	840.0
F4	4	A	1360.0
F4	5	A	1180.0
F4	1	B	1440.0
F4	2	B	1260.0
F4	3	B	1360.0
F4	4	B	1800.0
F4	5	B	1060.0
F4	1	C	1080.0
F4	2	C	1060.0
F4	3	C	1300.0
F4	4	C	800.0
F4	5	C	700.0
F4	1	D	1960.0
F4	2	D	1240.0
F4	3	D	1380.0
F4	4	D	800.0
F4	5	D	1120.0
F4	1	E	820.0
F4	2	E	1620.0
F4	3	E	800.0
F4	4	E	1540.0
F4	5	E	2100.0
F4	1	F	1120.0
F4	2	F	1640.0
F4	3	F	980.0
F4	4	F	980.0
F4	5	F	1980.0
