prog	alt
1	5.27
2	5.16
3	5.35
4	5.08
5	5.05
6	5.15
7	5.09
8	5.04
9	4.93
10	5.42
11	5.49
12	5.05
13	5.04
14	6.01
15	6.52
16	6.47
17	6.15
18	6.25
19	5.9
20	6.33
21	6.77
22	5.71
23	5.71
24	5.95
25	5.9
26	5.8
27	6.11
28	5.58
29	6.06
30	6.14
31	6.8
32	5.74
33	5.95
34	5.68
35	5.92
36	5.81
37	5.09
38	5.9
39	5.75
40	6.19
41	5.91
42	5.35
43	6.28
44	5.81
45	6.38
46	6.17
47	6.22
48	6.1
49	6.07
50	6.57
51	5.73
52	6.47
53	6.7
54	6.24
55	6.26
56	6.66
57	5.96
58	5.75
59	6.11
60	6.52
61	6.55
62	6.07
63	5.84
64	6.05
65	5.96
66	5.82
67	6.13
68	5.84
69	6.4
70	5.76
71	6.08
72	6.14
73	6.51
74	5.82
75	5.86
76	5.82
77	5.69
78	6.3
79	6.06
80	6.57
81	6.57
82	6.38
83	6.48
84	4.7
85	4.8
86	4.75
87	4.76
88	4.74
89	4.8
90	5.99
91	6.08
92	5.92
93	5.72
94	4.77
95	4.97
96	4.75
97	6.08
98	5.63
99	5.65
100	5.86
