fam	gerac	nota
1	f3	3.5
2	f3	1.5
3	f3	2
4	f3	2
5	f3	3.5
6	f3	2
7	f3	2
8	f3	2
9	f3	3
10	f3	3.5
11	f3	2
12	f3	2
13	f3	4
14	f3	1.5
15	f3	3
16	f3	4
17	f3	2
18	f3	3
19	f3	2
20	f3	3
1	f4	4
2	f4	2.5
3	f4	2.5
4	f4	2
5	f4	3
6	f4	3
7	f4	3.5
8	f4	1.5
9	f4	2.5
10	f4	3
11	f4	2
12	f4	2
13	f4	1.5
14	f4	2
15	f4	4.5
16	f4	4
17	f4	2
18	f4	2.5
19	f4	3
20	f4	3
1	f5	2
2	f5	2.5
3	f5	2
4	f5	3.5
5	f5	4
6	f5	2.5
7	f5	4
8	f5	2.5
9	f5	2
10	f5	1.5
11	f5	2.5
12	f5	2
13	f5	2.5
14	f5	2
15	f5	3
16	f5	3
17	f5	1.5
18	f5	2
19	f5	2.5
20	f5	2
