med	isol	comp
1	1	12.47
2	1	13.27
3	1	13.50
4	1	15.30
5	1	15.30
6	1	16.42
7	1	14.18
8	1	16.20
9	1	11.70
10	1	14.62
1	2	15.08
2	2	12.60
3	2	14.40
4	2	13.05
5	2	13.72
6	2	12.80
7	2	13.05
8	2	15.08
9	2	
10	2	
1	3	15.30
2	3	15.98
3	3	15.50
4	3	12.15
5	3	16.42
6	3	14.18
7	3	16.42
8	3	15.25
9	3	13.72
10	3	15.52
1	4	15.75
2	4	16.20
3	4	15.75
4	4	16.20
5	4	16.42
6	4	17.55
7	4	14.40
8	4	15.75
9	4	20.25
10	4	15.75
1	5	13.20
2	5	11.40
3	5	12.40
4	5	12.60
5	5	12.60
6	5	13.40
7	5	11.20
8	5	13.40
9	5	17.40
10	5	
1	6	13.50
2	6	13.28
3	6	12.15
4	6	11.48
5	6	13.28
6	6	13.78
7	6	12.60
8	6	12.38
9	6	12.82
10	6	
