cult	local	rept	prod
1	Lambari	1	4895
2	Lambari	1	4166
3	Lambari	1	5624
4	Lambari	1	4582
5	Lambari	1	4311
6	Lambari	1	3437
7	Lambari	1	4895
8	Lambari	1	3499
9	Lambari	1	3020
10	Lambari	1	3374
1	Lambari	2	4294
2	Lambari	2	4895
3	Lambari	2	4166
4	Lambari	2	3811
5	Lambari	2	4374
6	Lambari	2	3229
7	Lambari	2	3332
8	Lambari	2	4290
9	Lambari	2	4478
10	Lambari	2	4895
1	Lambari	3	4332
2	Lambari	3	4999
3	Lambari	3	4437
4	Lambari	3	2916
5	Lambari	3	4166
6	Lambari	3	3124
7	Lambari	3	3124
8	Lambari	3	3749
9	Lambari	3	4291
10	Lambari	3	2562
1	Lavras	1	5427
2	Lavras	1	3719
3	Lavras	1	4375
4	Lavras	1	4594
5	Lavras	1	4740
6	Lavras	1	3229
7	Lavras	1	4323
8	Lavras	1	4385
9	Lavras	1	6375
10	Lavras	1	4844
1	Lavras	2	5979
2	Lavras	2	3583
3	Lavras	2	3792
4	Lavras	2	5313
5	Lavras	2	4000
6	Lavras	2	2927
7	Lavras	2	4167
8	Lavras	2	3740
9	Lavras	2	5083
10	Lavras	2	4198
1	Lavras	3	5396
2	Lavras	3	4771
3	Lavras	3	3750
4	Lavras	3	5760
5	Lavras	3	4813
6	Lavras	3	3000
7	Lavras	3	4792
8	Lavras	3	3646
9	Lavras	3	5292
10	Lavras	3	4750
1	Felixlandia	1	5166
2	Felixlandia	1	4541
3	Felixlandia	1	3558
4	Felixlandia	1	4541
5	Felixlandia	1	5374
6	Felixlandia	1	3666
7	Felixlandia	1	5332
8	Felixlandia	1	4708
9	Felixlandia	1	4458
10	Felixlandia	1	4749
1	Felixlandia	2	5041
2	Felixlandia	2	4083
3	Felixlandia	2	3541
4	Felixlandia	2	2625
5	Felixlandia	2	6249
6	Felixlandia	2	4916
7	Felixlandia	2	4249
8	Felixlandia	2	3541
9	Felixlandia	2	4374
10	Felixlandia	2	3333
1	Felixlandia	3	5041
2	Felixlandia	3	3416
3	Felixlandia	3	5041
4	Felixlandia	3	4999
5	Felixlandia	3	5999
6	Felixlandia	3	5457
7	Felixlandia	3	5707
8	Felixlandia	3	4791
9	Felixlandia	3	5582
10	Felixlandia	3	4624
