clone	colh	bloc	prod
1	1	1	211
1	2	1	789
1	3	1	1026
1	4	1	3058
1	5	1	2866
1	1	2	801
1	2	2	1812
1	3	2	391
1	4	2	5120
1	5	2	4926
1	1	3	509
1	2	3	1520
1	3	3	2359
1	4	3	4534
1	5	3	4027
1	1	4	361
1	2	4	181
1	3	4	686
1	4	4	4237
1	5	4	3135
2	1	1	547
2	2	1	944
2	3	1	1434
2	4	1	1568
2	5	1	1138
2	1	2	558
2	2	2	1222
2	3	2	1639
2	4	2	2094
2	5	2	2649
2	1	3	3018
2	2	3	696
2	3	3	807
2	4	3	636
2	5	3	654
2	1	4	211
2	2	4	387
2	3	4	788
2	4	4	1432
2	5	4	1305
3	1	1	290
3	2	1	416
3	3	1	856
3	4	1	1424
3	5	1	455
3	1	2	290
3	2	2	768
3	3	2	1167
3	4	2	1066
3	5	2	566
3	1	3	361
3	2	3	652
3	3	3	1029
3	4	3	1152
3	5	3	1293
3	1	4	177
3	2	4	578
3	3	4	905
3	4	4	1214
3	5	4	751
4	1	1	239
4	2	1	497
4	3	1	392
4	4	1	354
4	5	1	2375
4	1	2	124
4	2	2	935
4	3	2	686
4	4	2	4625
4	5	2	4358
4	1	3	278
4	2	3	1234
4	3	3	738
4	4	3	4921
4	5	3	4576
4	1	4	135
4	2	4	351
4	3	4	271
4	4	4	4375
4	5	4	3415
5	1	1	251
5	2	1	956
5	3	1	964
5	4	1	2464
5	5	1	1951
5	1	2	574
5	2	2	1636
5	3	2	3216
5	4	2	3937
5	5	2	3824
5	1	3	616
5	2	3	1532
5	3	3	1567
5	4	3	3340
5	5	3	6553
5	1	4	247
5	2	4	775
5	3	4	1522
5	4	4	1969
5	5	4	2995
6	1	1	164
6	2	1	414
6	3	1	787
6	4	1	1327
6	5	1	1087
6	1	2	361
6	2	2	752
6	3	2	1340
6	4	2	2656
6	5	2	1690
6	1	3	676
6	2	3	897
6	3	3	1653
6	4	3	1957
6	5	3	1989
6	1	4	259
6	2	4	418
6	3	4	910
6	4	4	2308
7	5	4	1591
7	1	1	312
7	2	1	937
7	3	1	1752
7	4	1	2016
7	5	1	956
7	1	2	501
7	2	2	1520
7	3	2	3293
7	4	2	2918
7	5	2	2214
7	1	3	842
7	2	3	1118
7	3	3	1467
7	4	3	1991
7	5	3	1875
7	1	4	352
7	2	4	622
7	3	4	980
7	4	4	1291
8	5	4	2011
8	1	1	393
8	2	1	574
8	3	1	1007
8	4	1	1118
8	5	1	908
8	1	2	219
8	2	2	657
8	3	2	1104
8	4	2	1640
8	5	2	2438
8	1	3	605
8	2	3	756
8	3	3	1714
8	4	3	1118
8	5	3	1472
8	1	4	289
8	2	4	432
8	3	4	378
8	4	4	2167
9	5	4	1167
9	1	1	253
9	2	1	439
9	3	1	194
9	4	1	1592
9	5	1	2127
9	1	2	104
9	2	2	607
9	3	2	478
9	4	2	2765
9	5	2	2400
9	1	3	133
9	2	3	749
9	3	3	345
9	4	3	2145
9	5	3	1553
9	1	4	105
9	2	4	650
9	3	4	626
9	4	4	1892
9	5	4	1874
10	1	1	569
10	2	1	1351
10	3	1	2549
10	4	1	2366
10	5	1	1021
10	1	2	303
10	2	2	1099
10	3	2	1850
10	4	2	2310
10	5	2	1104
10	1	3	422
10	2	3	846
10	3	3	1616
10	4	3	1061
10	5	3	912
10	1	4	215
10	2	4	472
10	3	4	1062
10	4	4	5077
10	5	4	1762
