parc	rept	bloc	cult	prod
1	1	1	1	10.2
2	1	1	2	10.7
3	1	1	3	10.8
4	1	1	4	12.7
5	1	2	5	9.3
6	1	2	6	6.4
7	1	2	7	10.5
8	1	2	8	10.6
9	1	3	9	9.2
10	1	3	10	5.2
11	1	3	11	3.6
12	1	3	12	10.2
13	1	4	13	8.3
14	1	4	14	9.8
15	1	4	15	6.2
16	1	4	16	4.9
17	2	3	15	5.5
18	2	3	11	5.6
19	2	3	3	7.3
20	2	3	7	10.0
21	2	1	5	8.3
22	2	1	1	6.2
23	2	1	13	7.2
24	2	1	9	10.0
25	2	4	12	5.0
26	2	4	4	9.5
27	2	4	8	11.0
28	2	4	16	7.5
29	2	2	14	10.5
30	2	2	6	9.5
31	2	2	10	11.2
32	2	2	2	10.3
33	3	1	1	12.9
34	3	1	11	7.7
35	3	1	6	7.9
36	3	1	16	7.7
37	3	3	8	10.8
38	3	3	3	10.4
39	3	3	9	10.6
40	3	3	14	12.6
41	3	4	4	7.7
42	3	4	13	6.0
43	3	4	10	5.4
44	3	4	7	7.6
45	3	2	2	7.6
46	3	2	5	12.1
47	3	2	12	6.5
48	3	2	15	8.2
49	4	2	8	11.4
50	4	2	2	7.7
51	4	2	11	8.8
52	4	2	13	7.4
53	4	1	1	10.5
54	4	1	12	8.2
55	4	1	14	11.3
56	4	1	7	12.5
57	4	3	10	9.4
58	4	3	5	10.7
59	4	3	3	10.0
60	4	3	16	12.0
61	4	4	15	6.2
62	4	4	4	7.3
63	4	4	6	5.9
64	4	4	9	7.2
65	5	4	5	9.6
66	5	4	11	10.3
67	5	4	14	9.3
68	5	4	4	6.4
69	5	3	3	8.3
70	5	3	12	10.0
71	5	3	13	5.1
72	5	3	6	6.3
73	5	1	10	7.5
74	5	1	1	4.0
75	5	1	8	9.0
76	5	1	15	6.8
77	5	2	9	10.8
78	5	2	2	6.7
79	5	2	7	8.7
80	5	2	16	4.0
