exp	linh	bloc	prod
1	1	1	5.7
1	2	1	6.1
1	3	1	7.2
1	4	1	5.2
1	5	1	4.3
1	6	1	5.5
1	7	1	5.9
1	8	1	4.5
1	1	2	5.7
1	2	2	6.1
1	3	2	7.3
1	4	2	5.3
1	5	2	5.7
1	6	2	6.1
1	7	2	6.5
1	8	2	7.8
2	1	1	5.2
2	2	1	6.7
2	3	1	6.4
2	9	1	6.0
2	10	1	7.0
2	11	1	5.5
2	12	1	5.7
2	13	1	5.9
2	1	2	7.2
2	2	2	7.0
2	3	2	8.7
2	9	2	6.1
2	10	2	7.9
2	11	2	8.0
2	12	2	7.8
2	13	2	7.0
3	1	1	5.0
3	2	1	6.1
3	3	1	6.3
3	14	1	6.9
3	15	1	7.6
3	16	1	7.9
3	17	1	6.2
3	18	1	6.2
3	1	2	5.0
3	2	2	5.5
3	3	2	7.0
3	14	2	6.6
3	15	2	6.5
3	16	2	7.8
3	17	2	7.2
3	18	2	7.0
