trat	bloco	cult	nota
1	1	1	2.3
2	1	1	2.9
3	1	2	2.9
4	1	2	3.5
5	1	3	2.2
6	1	3	2.3
7	1	4	1.5
8	1	4	2.2
9	1	5	3.4
10	1	5	4.3
11	1	6	2.7
12	1	6	3.2
13	1	7	2
14	1	7	3.4
15	1	8	1.9
16	1	8	2.4
1	2	1	2.4
2	2	1	2.4
3	2	2	3.5
4	2	2	4.3
5	2	3	1.8
6	2	3	2
7	2	4	1.7
8	2	4	1.6
9	2	5	3.6
10	2	5	4.1
11	2	6	2.6
12	2	6	3.6
13	2	7	2.5
14	2	7	1.8
15	2	8	1.9
16	2	8	1.9
1	3	1	1.9
2	3	1	2.1
3	3	2	3.9
4	3	2	3.3
5	3	3	1.7
6	3	3	2.6
7	3	4	1.5
8	3	4	1.7
9	3	5	3.5
10	3	5	4.4
11	3	6	2.6
12	3	6	3.7
13	3	7	2
14	3	7	2.1
15	3	8	1.8
16	3	8	2.2
