amostra	isol	larg
1	A	4.56
2	A	6
3	A	5.52
4	A	5.76
5	A	5.28
6	A	4.8
7	A	4.32
8	A	5.04
9	A	5.28
10	A	6
11	A	5.04
12	A	5.76
13	A	6.96
14	A	4.52
15	A	4.8
16	A	4.56
17	A	5.52
18	A	5.52
19	A	5.04
20	A	5.76
21	A	4.56
22	A	5.52
23	A	6.48
24	A	5.04
25	A	5.52
26	A	6
27	A	4.8
28	A	5.52
29	A	4.56
30	A	5.28
1	B	6.96
2	B	7.2
3	B	6.72
4	B	6.72
5	B	7.68
6	B	6.48
7	B	6.96
8	B	7.68
9	B	6.72
10	B	6.24
11	B	6.72
12	B	7.44
13	B	7.2
14	B	7.68
15	B	7.44
16	B	8.16
17	B	6.24
18	B	7.2
19	B	6.24
20	B	6.48
21	B	6.48
22	B	14.88
23	B	6.72
24	B	6.42
25	B	6.48
26	B	6.48
27	B	6.48
28	B	6.48
29	B	6.72
30	B	7.68
1	C	5.28
2	C	5.04
3	C	5.52
4	C	5.28
5	C	4.8
6	C	4.32
7	C	5.04
8	C	5.28
9	C	4.32
10	C	5.76
11	C	4.8
12	C	4.8
13	C	5.04
14	C	4.56
15	C	4.32
16	C	5.28
17	C	5.04
18	C	5.04
19	C	5.76
20	C	4.56
21	C	5.76
22	C	5.28
23	C	4.8
24	C	4.56
25	C	4.08
26	C	5.04
27	C	4.8
28	C	4.08
29	C	4.8
30	C	5.04
