prog	rept	plant	vol
1	1	1	55
2	1	1	124
3	1	1	42
4	1	1	99
5	1	1	201
6	1	1	109
7	1	1	138
8	1	1	37
9	1	1	126
10	1	1	104
1	1	2	96
2	1	2	230
3	1	2	134
4	1	2	75
5	1	2	131
6	1	2	131
7	1	2	62
8	1	2	70
9	1	2	106
10	1	2	136
1	1	3	212
2	1	3	108
3	1	3	229
4	1	3	175
5	1	3	33
6	1	3	124
7	1	3	27
8	1	3	38
9	1	3	210
10	1	3	140
1	1	4	289
2	1	4	111
3	1	4	246
4	1	4	64
5	1	4	236
6	1	4	256
7	1	4	132
8	1	4	157
9	1	4	61
10	1	4	137
1	1	5	140
2	1	5	46
3	1	5	166
4	1	5	106
5	1	5	195
6	1	5	110
7	1	5	138
8	1	5	84
9	1	5	190
10	1	5	111
1	1	6	142
2	1	6	111
3	1	6	175
4	1	6	192
5	1	6	273
6	1	6	94
7	1	6	100
8	1	6	142
9	1	6	86
10	1	6	358
1	2	1	218
2	2	1	146
3	2	1	181
4	2	1	388
5	2	1	124
6	2	1	223
7	2	1	214
8	2	1	181
9	2	1	126
10	2	1	48
1	2	2	162
2	2	2	138
3	2	2	262
4	2	2	207
5	2	2	225
6	2	2	108
7	2	2	290
8	2	2	48
9	2	2	98
10	2	2	62
1	2	3	106
2	2	3	194
3	2	3	150
4	2	3	339
5	2	3	206
6	2	3	69
7	2	3	60
8	2	3	194
9	2	3	41
10	2	3	68
1	2	4	124
2	2	4	236
3	2	4	290
4	2	4	256
5	2	4	147
6	2	4	59
7	2	4	175
8	2	4	134
9	2	4	29
10	2	4	68
1	2	5	119
2	2	5	214
3	2	5	112
4	2	5	124
5	2	5	281
6	2	5	129
7	2	5	106
8	2	5	108
9	2	5	274
10	2	5	20
1	2	6	155
2	2	6	116
3	2	6	133
4	2	6	282
5	2	6	90
6	2	6	54
7	2	6	80
8	2	6	91
9	2	6	54
10	2	6	157
1	3	1	105
2	3	1	218
3	3	1	239
4	3	1	320
5	3	1	155
6	3	1	119
7	3	1	131
8	3	1	81
9	3	1	168
10	3	1	67
1	3	2	38
2	3	2	207
3	3	2	195
4	3	2	356
5	3	2	368
6	3	2	92
7	3	2	34
8	3	2	250
9	3	2	210
10	3	2	134
1	3	3	124
2	3	3	63
3	3	3	195
4	3	3	77
5	3	3	285
6	3	3	218
7	3	3	166
8	3	3	91
9	3	3	256
10	3	3	157
1	3	4	119
2	3	4	146
3	3	4	146
4	3	4	367
5	3	4	210
6	3	4	106
7	3	4	51
8	3	4	295
9	3	4	90
10	3	4	108
1	3	5	59
2	3	5	212
3	3	5	169
4	3	5	273
5	3	5	142
6	3	5	70
7	3	5	49
8	3	5	175
9	3	5	106
10	3	5	33
1	3	6	58
2	3	6	192
3	3	6	117
4	3	6	160
5	3	6	111
6	3	6	257
7	3	6	24
8	3	6	30
9	3	6	142
10	3	6	194
