prog	colh	rept	prod
1	1	1	4.3
1	2	1	7.62
1	3	1	3.11
2	1	1	13.2
2	2	1	7.7
2	3	1	13.42
3	1	1	1.59
3	2	1	3.36
3	3	1	2.59
4	1	1	2.76
4	2	1	10.29
4	3	1	4.76
5	1	1	11.38
5	2	1	8.87
5	3	1	12.23
6	1	1	5.69
6	2	1	7.15
6	3	1	4.16
7	1	1	9.8
7	2	1	6.35
7	3	1	11.14
8	1	1	7.0
8	2	1	11.88
8	3	1	10.4
9	1	1	11.7
9	2	1	4.49
9	3	1	8.44
10	1	1	9.6
10	2	1	3.73
10	3	1	10.39
1	1	2	3.65
1	2	2	9.36
1	3	2	5.81
2	1	2	9.11
2	2	2	6.36
2	3	2	7.8
3	1	2	5.35
3	2	2	7.02
3	3	2	7.48
4	1	2	4.34
4	2	2	11.38
4	3	2	13.19
5	1	2	8.52
5	2	2	11.65
5	3	2	5.75
6	1	2	4.07
6	2	2	4.54
6	3	2	4.93
7	1	2	3.54
7	2	2	2.54
7	3	2	4.41
8	1	2	4.12
8	2	2	8.29
8	3	2	8.42
9	1	2	12.56
9	2	2	7.91
9	3	2	10.62
10	1	2	14.87
10	2	2	2.54
10	3	2	14.32
1	1	3	6.18
1	2	3	7.86
1	3	3	4.34
2	1	3	10.48
2	2	3	3.88
2	3	3	7.82
3	1	3	3.38
3	2	3	5.47
3	3	3	3.11
4	1	3	2.22
4	2	3	7.65
4	3	3	8.07
5	1	3	8.96
5	2	3	5.41
5	3	3	5.84
6	1	3	6.55
6	2	3	7.71
6	3	3	5.5
7	1	3	12.37
7	2	3	11.12
7	3	3	14.27
8	1	3	14.32
8	2	3	5.95
8	3	3	15.84
9	1	3	13.36
9	2	3	5.36
9	3	3	9.02
10	1	3	18.82
10	2	3	3.73
10	3	3	16.14
1	1	4	9.76
1	2	4	10.7
1	3	4	6.88
2	1	4	9.1
2	2	4	9.36
2	3	4	5.58
3	1	4	11.64
3	2	4	8.31
3	3	4	8.98
4	1	4	8.04
4	2	4	11.4
4	3	4	6.77
5	1	4	5.45
5	2	4	5.26
5	3	4	10.22
6	1	4	8.88
6	2	4	9.91
6	3	4	4.7
7	1	4	6.58
7	2	4	7.41
7	3	4	6.52
8	1	4	7.44
8	2	4	10.08
8	3	4	11.14
9	1	4	17.05
9	2	4	5.12
9	3	4	18.91
10	1	4	14.08
10	2	4	2.54
10	3	4	12.34
