amostra	oleo
1	250.00
1	249.56
1	249.00
1	251.29
1	248.33
1	249.00
1	249.75
1	248.33
2	249.20
2	248.38
2	248.11
2	247.88
2	248.89
2	249.00
2	249.60
2	249.89
3	249.89
3	253.00
3	249.00
3	248.25
3	249.56
3	248.00
3	248.67
3	249.56
4	250.00
4	249.56
4	249.00
4	250.00
4	249.78
4	251.78
4	249.00
4	248.44
5	250.50
5	248.00
5	248.00
5	249.78
5	249.67
5	250.56
5	250.00
5	248.14
6	248.20
6	250.00
6	249.00
6	249.00
6	248.00
6	248.33
6	248.25
6	248.33
7	247.88
7	252.37
7	248.44
7	247.35
7	247.69
7	251.16
7	251.61
7	251.13
8	248.50
8	253.00
8	249.22
8	249.38
8	250.22
8	249.38
8	250.56
8	246.33
9	251.00
9	251.00
9	252.67
9	248.50
9	250.78
9	251.88
9	252.00
9	249.00
10	250.50
10	249.00
10	249.83
10	249.38
10	248.17
10	249.00
10	249.00
10	250.00
11	251.00
11	248.78
11	249.33
11	249.14
11	249.00
11	248.75
11	248.67
11	249.44
12	248.56
12	248.00
12	252.00
12	247.25
12	247.00
12	247.38
12	250.11
12	248.89
13	251.89
13	247.67
13	251.78
13	247.67
13	251.11
13	250.44
13	248.71
13	247.56
14	250.17
14	251.78
14	248.00
14	251.89
14	251.67
14	250.00
14	252.89
14	250.00
15	250.00
15	250.63
15	251.33
15	251.33
15	251.00
15	250.78
15	249.33
15	251.25
16	247.00
16	249.89
16	250.00
16	247.67
16	249.67
16	248.60
16	249.67
16	249.71
17	252.00
17	248.78
17	250.00
17	249.00
17	250.00
17	251.75
17	250.00
17	251.00
18	251.56
18	249.00
18	251.00
18	251.00
18	248.00
18	248.00
18	250.00
18	249.89
19	249.50
19	248.33
19	248.78
19	249.00
19	250.25
19	249.00
19	249.80
19	250.33
20	248.40
20	247.22
20	250.00
20	248.25
20	251.11
20	248.50
20	251.11
20	251.00
21	249.22
21	246.00
21	251.00
21	250.00
21	248.00
21	249.13
21	247.00
21	248.89
22	248.00
22	251.00
22	249.22
22	247.13
22	249.11
22	249.67
22	249.11
22	249.67
23	248.32
23	248.11
23	250.22
23	250.63
23	251.00
23	250.33
23	253.44
23	251.00
24	251.00
24	251.67
24	252.00
24	250.75
24	251.17
24	248.33
24	250.14
24	248.63
25	251.14
25	250.38
25	251.00
25	248.67
25	252.57
25	249.78
25	251.33
25	251.44
