amostra	sodio
1	0.54
1	0.58
1	0.59
1	0.52
1	0.55
2	0.58
2	0.52
2	0.62
2	0.54
2	0.72
3	0.54
3	0.52
3	0.56
3	0.57
3	0.48
4	0.54
4	0.58
4	0.50
4	0.54
4	0.61
5	0.53
5	0.52
5	0.52
5	0.55
5	0.56
6	0.54
6	0.56
6	0.56
6	0.54
6	0.46
7	0.63
7	0.54
7	0.61
7	0.55
7	0.47
8	0.53
8	0.52
8	0.57
8	0.63
8	0.58
9	0.52
9	0.56
9	0.60
9	0.58
9	0.50
10	0.63
10	0.62
10	0.55
10	0.65
10	0.52
11	0.58
11	0.53
11	0.51
11	0.61
11	0.53
12	0.53
12	0.53
12	0.52
12	0.70
12	0.62
13	0.55
13	0.52
13	0.57
13	0.57
13	0.63
14	0.63
14	0.56
14	0.50
14	0.55
14	0.63
15	0.56
15	0.57
15	0.54
15	0.59
15	0.48
16	0.54
16	0.56
16	0.54
16	0.60
16	0.46
17	0.59
17	0.55
17	0.61
17	0.52
17	0.49
18	0.64
18	0.57
18	0.55
18	0.55
18	0.56
19	0.54
19	0.68
19	0.60
19	0.58
19	0.55
20	0.59
20	0.54
20	0.61
20	0.58
20	0.49
21	0.56
21	0.57
21	0.57
21	0.63
21	0.57
22	0.53
22	0.63
22	0.57
22	0.56
22	0.58
23	0.55
23	0.54
23	0.56
23	0.70
23	0.56
24	0.57
24	0.56
24	0.57
24	0.51
24	0.50
25	0.54
25	0.55
25	0.55
25	0.57
25	0.50
