amostra	magnes	ferro	fosfor	potass	calcio	alumin	vanad
1	0.35	0.169	6.89	0.18	0.30	0.70	23.59
2	0.20	0.200	9.19	0.10	0.70	0.40	19.19
3	0.40	0.192	4.67	0.13	0.90	0.30	25.83
4	0.50	0.183	7.95	0.07	0.20	0.50	21.64
5	0.60	0.185	6.90	0.20	1.10	1.20	18.83
6	0.05	0.201	10.11	0.08	0.80	0.70	25.82
7	0.10	0.175	7.54	0.07	1.40	0.90	23.03
8	0.10	0.168	5.54	0.04	1.00	0.10	29.16
9	0.30	0.205	4.46	0.05	0.80	0.60	18.88
10	0.30	0.193	9.05	0.15	0.20	1.10	20.68
11	0.50	0.201	6.17	0.13	0.60	0.80	19.10
12	0.20	0.194	6.08	0.04	0.50	0.60	22.33
13	0.00	0.158	9.34	0.04	0.80	0.30	28.86
14	0.50	0.195	11.91	0.19	1.20	0.12	24.09
15	0.20	0.180	10.94	0.04	0.40	0.90	23.15
16	0.10	0.177	4.39	0.07	1.20	0.30	22.00
17	0.20	0.206	8.60	0.14	0.90	0.20	25.34
18	0.30	0.168	10.06	0.07	0.40	0.60	18.00
19	0.00	0.174	6.35	0.15	1.00	0.90	24.05
20	0.40	0.184	4.26	0.06	0.70	0.40	27.92
21	0.40	0.210	3.31	0.03	1.60	0.60	25.54
22	0.50	0.195	4.55	0.11	0.60	0.80	20.63
23	0.20	0.180	9.78	0.04	1.60	1.20	28.17
24	0.10	0.202	3.27	0.03	0.50	1.10	22.98
25	0.00	0.206	2.26	0.03	0.15	0.90	13.73
26	0.15	0.180	5.93	0.17	0.55	0.55	20.65
27	0.35	0.207	4.28	0.09	0.85	0.85	22.49
28	0.25	0.192	1.75	0.13	0.25	0.95	16.00
29	0.10	0.170	8.57	0.12	1.15	0.15	25.89
30	0.20	0.191	2.12	0.05	0.20	0.45	21.25
