amostra	fluor
1	1.70
1	1.71
1	1.78
1	1.94
1	1.58
2	1.88
2	2.04
2	1.66
2	2.10
2	1.59
3	1.80
3	2.26
3	1.52
3	1.79
3	1.76
4	1.82
4	1.94
4	1.58
4	1.84
4	1.90
5	1.65
5	1.96
5	1.60
5	1.62
5	1.70
6	1.82
6	2.04
6	1.61
6	1.93
6	1.80
7	1.90
7	1.75
7	1.43
7	1.83
7	2.03
8	1.71
8	1.74
8	1.40
8	1.90
8	1.79
9	1.68
9	2.21
9	1.80
9	1.55
9	1.88
10	2.02
10	1.93
10	1.89
10	1.53
10	2.00
11	2.06
11	1.97
11	1.86
11	1.80
11	1.86
12	1.82
12	1.75
12	1.64
12	2.08
12	1.99
13	1.67
13	1.68
13	1.87
13	1.86
13	1.89
14	2.25
14	1.85
14	2.12
14	1.89
14	1.71
15	1.93
15	1.82
15	1.72
15	1.81
15	1.72
