amostra	temperat
1	148
1	152
1	151
1	155
1	155
1	152
1	154
1	156
2	154
2	153
2	155
2	155
2	151
2	147
2	149
2	152
3	154
3	153
3	153
3	154
3	155
3	156
3	156
3	153
4	152
4	153
4	155
4	155
4	158
4	150
4	151
4	151
5	154
5	155
5	154
5	153
5	153
5	154
5	154
5	152
6	150
6	148
6	149
6	151
6	150
6	154
6	155
6	156
7	151
7	151
7	149
7	151
7	153
7	154
7	154
7	150
8	152
8	153
8	153
8	153
8	156
8	150
8	151
8	155
9	154
9	156
9	154
9	153
9	155
9	156
9	153
9	151
10	153
10	152
10	153
10	151
10	153
10	154
10	150
10	156
11	153
11	158
11	151
11	151
11	152
11	155
11	153
11	150
12	152
12	151
12	151
12	150
12	153
12	152
12	155
12	152
13	152
13	151
13	153
13	154
13	152
13	155
13	152
13	150
14	155
14	153
14	155
14	158
14	150
14	150
14	151
14	152
15	154
15	154
15	156
15	156
15	153
15	151
15	156
15	153
16	156
16	151
16	150
16	156
16	153
16	153
16	153
16	153
17	155
17	151
17	151
17	151
17	153
17	152
17	151
17	152
18	153
18	155
18	152
18	158
18	155
18	151
18	150
18	151
19	155
19	155
19	153
19	156
19	151
19	154
19	155
19	153
20	153
20	152
20	153
20	150
20	153
20	151
20	156
20	156
21	154
21	153
21	151
21	153
21	154
21	154
21	154
21	153
22	153
22	156
22	155
22	154
22	153
22	152
22	152
22	156
23	152
23	154
23	152
23	153
23	149
23	150
23	150
23	155
24	154
24	154
24	153
24	152
24	156
24	154
24	153
24	152
25	155
25	150
25	152
25	151
25	158
25	153
25	155
25	150
