amb,trat,blocos,result,,,,
1,1,1,61,,,,
1,1,2,49,,,,
1,1,3,48,,,,
1,1,4,51,,,,
1,2,1,77,,,,
1,2,2,63,,,,
1,2,3,64,,,,
1,2,4,69,,,,
1,3,1,50,,,,
1,3,2,57,,,,
1,3,3,53,,,,
1,3,4,57,,,,
1,4,1,55,,,,
1,4,2,48,,,,
1,4,3,57,,,,
1,4,4,41,,,,
1,5,1,71,,,,
1,5,2,66,,,,
1,5,3,59,,,,
1,5,4,68,,,,
1,6,1,60,,,,
1,6,2,56,,,,
1,6,3,60,,,,
1,6,4,65,,,,
2,1,1,52,,,,
2,1,2,55,,,,
2,1,3,40,,,,
2,1,4,58,,,,
2,2,1,68,,,,
2,2,2,64,,,,
2,2,3,61,,,,
2,2,4,60,,,,
2,3,1,62,,,,
2,3,2,44,,,,
2,3,3,49,,,,
2,3,4,57,,,,
2,4,1,46,,,,
2,4,2,64,,,,
2,4,3,47,,,,
2,4,4,53,,,,
2,5,1,83,,,,
2,5,2,65,,,,
2,5,3,73,,,,
2,5,4,72,,,,
2,6,1,65,,,,
2,6,2,75,,,,
2,6,3,52,,,,
2,6,4,60,,,,
3,1,1,62,,,,
3,1,2,57,,,,
3,1,3,49,,,,
3,1,4,57,,,,
3,2,1,73,,,,
3,2,2,51,,,,
3,2,3,65,,,,
3,2,4,60,,,,
3,3,1,61,,,,
3,3,2,56,,,,
3,3,3,61,,,,
3,3,4,52,,,,
3,4,1,57,,,,
3,4,2,55,,,,
3,4,3,51,,,,
3,4,4,47,,,,
3,5,1,77,,,,
3,5,2,67,,,,
3,5,3,68,,,,
3,5,4,68,,,,
3,6,1,72,,,,
3,6,2,58,,,,
3,6,3,60,,,,
3,6,4,61,,,,
4,1,1,70,,,,
4,1,2,52,,,,
4,1,3,46,,,,
4,1,4,48,,,,
4,2,1,64,,,,
4,2,2,64,,,,
4,2,3,67,,,,
4,2,4,72,,,,
4,3,1,59,,,,
4,3,2,57,,,,
4,3,3,60,,,,
4,3,4,61,,,,
4,4,1,60,,,,
4,4,2,55,,,,
4,4,3,53,,,,
4,4,4,49,,,,
4,5,1,84,,,,
4,5,2,72,,,,
4,5,3,68,,,,
4,5,4,65,,,,
4,6,1,59,,,,
4,6,2,69,,,,
4,6,3,70,,,,
4,6,4,56,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,, 
