cult	manejo	bloc	prod
1	1	I	75
1	1	II	75
1	1	III	59
1	1	IV	65
1	2	I	74
1	2	II	51
1	2	III	49
1	2	IV	58
1	3	I	56
1	3	II	23
1	3	III	42
1	3	IV	48
2	1	I	63
2	1	II	57
2	1	III	46
2	1	IV	29
2	2	I	79
2	2	II	59
2	2	III	50
2	2	IV	61
2	3	I	60
2	3	II	43
2	3	III	49
2	3	IV	43
3	1	I	39
3	1	II	46
3	1	III	39
3	1	IV	25
3	2	I	62
3	2	II	33
3	2	III	42
3	2	IV	32
3	3	I	101
3	3	II	81
3	3	III	83
3	3	IV	109
4	1	I	96
4	1	II	46
4	1	III	67
4	1	IV	80
4	2	I	84
4	2	II	64
4	2	III	41
4	2	IV	70
4	3	I	76
4	3	II	56
4	3	III	67
4	3	IV	69
