cult	dose	bloc	prod
1	0	I	36
1	0	II	24
1	0	III	37
1	0	IV	23
1	50	I	55
1	50	II	51
1	50	III	49
1	50	IV	39
1	100	I	76
1	100	II	67
1	100	III	57
1	100	IV	56
1	150	I	74
1	150	II	70
1	150	III	66
1	150	IV	74
1	200	I	45
1	200	II	39
1	200	III	51
1	200	IV	54
2	0	I	72
2	0	II	59
2	0	III	44
2	0	IV	53
2	50	I	58
2	50	II	64
2	50	III	64
2	50	IV	70
2	100	I	79
2	100	II	73
2	100	III	75
2	100	IV	76
2	150	I	85
2	150	II	80
2	150	III	87
2	150	IV	70
2	200	I	90
2	200	II	61
2	200	III	87
2	200	IV	64
3	0	I	38
3	0	II	28
3	0	III	47
3	0	IV	67
3	50	I	68
3	50	II	44
3	50	III	74
3	50	IV	48
3	100	I	80
3	100	II	54
3	100	III	66
3	100	IV	68
3	150	I	76
3	150	II	75
3	150	III	56
3	150	IV	69
3	200	I	61
3	200	II	70
3	200	III	48
3	200	IV	51
