epoc	dens	bloc	prod
1	30	I	59
1	30	II	59
1	30	III	57
1	30	IV	52
1	30	V	62
1	35	I	59
1	35	II	61
1	35	III	61
1	35	IV	46
1	35	V	61
1	40	I	67
1	40	II	58
1	40	III	62
1	40	IV	55
1	40	V	66
1	45	I	65
1	45	II	63
1	45	III	54
1	45	IV	66
1	45	V	72
1	50	I	59
1	50	II	55
1	50	III	52
1	50	IV	46
1	50	V	55
2	30	I	64
2	30	II	44
2	30	III	37
2	30	IV	49
2	30	V	43
2	35	I	70
2	35	II	63
2	35	III	63
2	35	IV	59
2	35	V	69
2	40	I	56
2	40	II	73
2	40	III	79
2	40	IV	61
2	40	V	72
2	45	I	80
2	45	II	65
2	45	III	69
2	45	IV	73
2	45	V	59
2	50	I	72
2	50	II	46
2	50	III	64
2	50	IV	71
2	50	V	55
3	30	I	38
3	30	II	48
3	30	III	45
3	30	IV	44
3	30	V	32
3	35	I	54
3	35	II	47
3	35	III	20
3	35	IV	28
3	35	V	32
3	40	I	58
3	40	II	30
3	40	III	30
3	40	IV	42
3	40	V	37
3	45	I	44
3	45	II	39
3	45	III	27
3	45	IV	43
3	45	V	38
3	50	I	32
3	50	II	28
3	50	III	16
3	50	IV	26
3	50	V	29
