trat A	trat D	blocos	result
1	1	1	59
1	1	2	59
1	1	3	57
1	1	4	52
1	1	5	62
1	2	1	59
1	2	2	61
1	2	3	61
1	2	4	46
1	2	5	61
1	3	1	67
1	3	2	58
1	3	3	62
1	3	4	55
1	3	5	66
1	4	1	65
1	4	2	63
1	4	3	54
1	4	4	66
1	4	5	72
1	5	1	59
1	5	2	55
1	5	3	52
1	5	4	46
1	5	5	55
2	1	1	64
2	1	2	44
2	1	3	37
2	1	4	49
2	1	5	43
2	2	1	70
2	2	2	63
2	2	3	63
2	2	4	59
2	2	5	69
2	3	1	56
2	3	2	73
2	3	3	79
2	3	4	61
2	3	5	72
2	4	1	80
2	4	2	65
2	4	3	69
2	4	4	73
2	4	5	59
2	5	1	72
2	5	2	46
2	5	3	64
2	5	4	71
2	5	5	55
3	1	1	38
3	1	2	48
3	1	3	45
3	1	4	44
3	1	5	32
3	2	1	54
3	2	2	47
3	2	3	20
3	2	4	28
3	2	5	32
3	3	1	58
3	3	2	30
3	3	3	30
3	3	4	42
3	3	5	37
3	4	1	44
3	4	2	39
3	4	3	27
3	4	4	43
3	4	5	38
3	5	1	32
3	5	2	28
3	5	3	16
3	5	4	26
3	5	5	29
