"cult" "rep" "prod"
1 1 1112.5
2 1 1850
3 1 987.5
4 1 1587.5
5 1 2012.5
6 1 1975
7 1 1837.5
8 1 1825
9 1 2250
10 1 562.5
11 1 1650
12 1 1362.5
13 1 1600
14 1 2162.5
15 1 2112.5
1 2 650
2 2 1637.5
3 2 1537.5
4 2 2412.5
5 2 2075
6 2 1787.5
7 2 2137.5
8 2 2100
9 2 2062.5
10 2 1437.5
11 2 1625
12 2 862.5
13 2 1725
14 2 1825
15 2 2137.5
1 3 1037.5
2 3 1787.5
3 3 1600
4 3 2100
5 3 2087.5
6 3 2225
7 3 2050
8 3 1375
9 3 1950
10 3 1550
11 3 1187.5
12 3 1225
13 3 1750
14 3 1950
15 3 2450
1 4 1362.5
2 4 1387.5
3 4 1262.5
4 4 1912.5
5 4 1862.5
6 4 1950
7 4 2587.5
8 4 1450
9 4 1637
10 4 925
11 4 1325
12 4 962.5
13 4 1337.5
14 4 1550
15 4 2237.5
