bloco	adub	geno	prod
1	1	Maravilha	1752.76
2	1	Maravilha	1686.29
3	1	Maravilha	1631.19
4	1	Maravilha	1535.76
1	2	Maravilha	1913.57
2	2	Maravilha	1814.98
3	2	Maravilha	1811.67
4	2	Maravilha	1782.22
1	3	Maravilha	1852.62
2	3	Maravilha	1738.03
3	3	Maravilha	1678.96
4	3	Maravilha	1634.93
1	1	Primavera	2983.33
2	1	Primavera	2954.67
3	1	Primavera	2628.98
4	1	Primavera	2627.62
1	2	Primavera	3232.41
2	2	Primavera	2931.08
3	2	Primavera	2915.48
4	2	Primavera	2863.81
1	3	Primavera	2894.26
2	3	Primavera	2717.51
3	3	Primavera	2688.05
4	3	Primavera	2651.23
