lam	nit	solo	rept	massa
1	1	1	1	26.33
2	1	1	1	24.04
3	1	1	1	25.85
4	1	1	1	23.2
1	2	1	1	27.85
2	2	1	1	25.22
3	2	1	1	25.7
4	2	1	1	20.32
1	3	1	1	27.13
2	3	1	1	28.32
3	3	1	1	26.97
4	3	1	1	23.94
1	1	2	1	25.1
2	1	2	1	25.19
3	1	2	1	25.63
4	1	2	1	29.28
1	2	2	1	27.67
2	2	2	1	27.77
3	2	2	1	27.11
4	2	2	1	26.03
1	3	2	1	24.93
2	3	2	1	27.28
3	3	2	1	25.62
4	3	2	1	28.6
1	1	3	1	25
2	1	3	1	25.89
3	1	3	1	26.16
4	1	3	1	26.23
1	2	3	1	28.03
2	2	3	1	24.27
3	2	3	1	24.86
4	2	3	1	25.49
1	3	3	1	29.65
2	3	3	1	25.83
3	3	3	1	25.51
4	3	3	1	24.65
1	1	1	2	25.87
2	1	1	2	27.16
3	1	1	2	27.11
4	1	1	2	23
1	2	1	2	28.64
2	2	1	2	26.49
3	2	1	2	24.44
4	2	1	2	23.43
1	3	1	2	29.31
2	3	1	2	25.99
3	3	1	2	28.06
4	3	1	2	23.42
1	1	2	2	27.8
2	1	2	2	24.63
3	1	2	2	25.77
4	1	2	2	28.71
1	2	2	2	27.25
2	2	2	2	26.91
3	2	2	2	27.46
4	2	2	2	26.45
1	3	2	2	25.56
2	3	2	2	28.47
3	3	2	2	26.2
4	3	2	2	26.25
1	1	3	2	28.53
2	1	3	2	26.68
3	1	3	2	26.83
4	1	3	2	26.64
1	2	3	2	26.38
2	2	3	2	27.64
3	2	3	2	27.55
4	2	3	2	26.82
1	3	3	2	32.45
2	3	3	2	24.8
3	3	3	2	27.19
4	3	3	2	26.88
