epoca	inset	genot	bloco	peso
1	0	CNA 8441	1	2.36
1	0	CNA 8394	1	3.07
1	0	Canastra	1	2.6
1	1	CNA 8441	1	2.49
1	1	CNA 8394	1	2.86
1	1	Canastra	1	2.64
3	0	CNA 8441	1	1.95
3	0	CNA 8394	1	2.77
3	0	Canastra	1	2.44
3	1	CNA 8441	1	2.39
3	1	CNA 8394	1	2.75
3	1	Canastra	1	2.63
1	0	CNA 8441	2	2.31
1	0	CNA 8394	2	2.9
1	0	Canastra	2	2.58
1	1	CNA 8441	2	2.39
1	1	CNA 8394	2	2.74
1	1	Canastra	2	2.55
3	0	CNA 8441	2	1.88
3	0	CNA 8394	2	2.88
3	0	Canastra	2	2.41
3	1	CNA 8441	2	2.32
3	1	CNA 8394	2	2.91
3	1	Canastra	2	2.63
1	0	CNA 8441	3	2.35
1	0	CNA 8394	3	2.88
1	0	Canastra	3	2.55
1	1	CNA 8441	3	2.26
1	1	CNA 8394	3	2.73
1	1	Canastra	3	2.77
3	0	CNA 8441	3	1.93
3	0	CNA 8394	3	2.34
3	0	Canastra	3	2.47
3	1	CNA 8441	3	2.42
3	1	CNA 8394	3	3.02
3	1	Canastra	3	2.64
1	0	CNA 8441	4	2.29
1	0	CNA 8394	4	2.74
1	0	Canastra	4	2.63
1	1	CNA 8441	4	2.21
1	1	CNA 8394	4	2.85
1	1	Canastra	4	2.72
3	0	CNA 8441	4	1.92
3	0	CNA 8394	4	2.78
3	0	Canastra	4	2.52
3	1	CNA 8441	4	2.48
3	1	CNA 8394	4	2.96
3	1	Canastra	4	2.62
