rept	bloco	densi	espac	adub	prod
1	1	1	0	1	2820
2	1	0	0	0	2732
3	1	0	1	1	2927
4	1	1	0	1	3400
1	1	0	1	1	3053
2	1	1	1	0	2416
3	1	0	0	0	2702
4	1	0	0	0	2526
1	1	0	0	0	2168
2	1	1	0	1	2514
3	1	1	0	1	2438
4	1	0	1	1	2856
1	1	1	1	0	1951
2	1	0	1	1	3089
3	1	1	1	0	2288
4	1	1	1	0	2635
1	2	0	0	1	2783
2	2	0	0	1	3499
3	2	1	1	1	2232
4	2	1	1	1	3527
1	2	1	1	1	3187
2	2	1	1	1	3493
3	2	1	0	0	1908
4	2	0	1	0	2644
1	2	1	0	0	1985
2	2	1	0	0	2556
3	2	0	0	1	2616
4	2	0	0	1	3077
1	2	0	1	0	3052
2	2	0	1	0	3841
3	2	0	1	0	2648
4	2	1	0	0	2048
