rept	bloco	altura	iden	espac	dens
1	1	118	00	0	0
2	1	116	00	0	0
3	1	121	00	0	0
4	1	114	00	0	0
1	2	124	01	0	1
2	2	128	01	0	1
3	2	120	01	0	1
4	2	119	01	0	1
1	3	120	02	0	2
2	3	124	02	0	2
3	3	124	02	0	2
4	3	117	02	0	2
1	1	110	11	1	1
2	1	133	11	1	1
3	1	120	11	1	1
4	1	117	11	1	1
1	2	121	12	1	2
2	2	130	12	1	2
3	2	115	12	1	2
4	2	112	12	1	2
1	3	115	10	1	0
2	3	119	10	1	0
3	3	124	10	1	0
4	3	111	10	1	0
1	1	103	22	2	2
2	1	120	22	2	2
3	1	113	22	2	2
4	1	117	22	2	2
1	2	112	20	2	0
2	2	117	20	2	0
3	2	112	20	2	0
4	2	104	20	2	0
1	3	124	21	2	1
2	3	123	21	2	1
3	3	119	21	2	1
4	3	118	21	2	1
