rept	bloco	zinco	fosf	calc	prod
1	1	0	0	0	1200
2	1	0	0	0	950
3	1	0	0	0	1300
1	2	0	0	1	1600
2	2	0	0	1	1650
3	2	0	0	1	1800
1	3	0	0	2	1250
2	3	0	0	2	2150
3	3	0	0	2	2350
1	1	0	1	2	3900
2	1	0	1	2	4200
3	1	0	1	2	4550
1	2	0	1	0	3500
2	2	0	1	0	4300
3	2	0	1	0	3400
1	3	0	1	1	4100
2	3	0	1	1	3850
3	3	0	1	1	4550
1	1	0	2	1	4200
2	1	0	2	1	3950
3	1	0	2	1	4500
1	2	0	2	2	4150
2	2	0	2	2	4950
3	2	0	2	2	4550
1	3	0	2	0	4300
2	3	0	2	0	4900
3	3	0	2	0	4750
1	1	1	0	2	1800
2	1	1	0	2	2600
3	1	1	0	2	3150
1	2	1	0	0	1150
2	2	1	0	0	2200
3	2	1	0	0	4300
1	3	1	0	1	1450
2	3	1	0	1	1650
3	3	1	0	1	2350
1	1	1	1	1	3350
2	1	1	1	1	4500
3	1	1	1	1	4250
1	2	1	1	2	4200
2	2	1	1	2	3750
3	2	1	1	2	4450
1	3	1	1	0	3850
2	3	1	1	0	4200
3	3	1	1	0	4250
1	1	1	2	0	4700
2	1	1	2	0	5600
3	1	1	2	0	4850
1	2	1	2	1	4200
2	2	1	2	1	5200
3	2	1	2	1	4600
1	3	1	2	2	4450
2	3	1	2	2	4640
3	3	1	2	2	5000
1	1	2	0	1	1100
2	1	2	0	1	2000
3	1	2	0	1	2250
1	2	2	0	2	1850
2	2	2	0	2	2350
3	2	2	0	2	1800
1	3	2	0	0	1100
2	3	2	0	0	1900
3	3	2	0	0	1500
1	1	2	1	0	2600
2	1	2	1	0	3750
3	1	2	1	0	4500
1	2	2	1	1	3500
2	2	2	1	1	3900
3	2	2	1	1	2150
1	3	2	1	2	3500
2	3	2	1	2	4450
3	3	2	1	2	3800
1	1	2	2	2	4000
2	1	2	2	2	3650
3	1	2	2	2	4700
1	2	2	2	0	4450
2	2	2	2	0	5350
3	2	2	2	0	4950
1	3	2	2	1	4850
2	3	2	2	1	3750
3	3	2	2	1	3350
