bloc	irri	adub	cult	doen	inva	prod
1	-1	-1	-1	-1	-1	2445
1	-1	-1	-1	1	1	2157.5
1	-1	-1	1	-1	1	2945
1	-1	-1	1	1	-1	2545
1	-1	1	-1	-1	1	2920
1	-1	1	-1	1	-1	3820
1	-1	1	1	-1	-1	2407.5
1	-1	1	1	1	1	4345
1	1	-1	-1	-1	1	1545
1	1	-1	-1	1	-1	1645
1	1	-1	1	-1	-1	1545
1	1	-1	1	1	1	2445
1	1	1	-1	-1	-1	2982.5
1	1	1	-1	1	1	2795
1	1	1	1	-1	1	3320
1	1	1	1	1	-1	1670
2	-1	-1	-1	-1	1	3220
2	-1	-1	-1	1	-1	3695
2	-1	-1	1	-1	-1	2857.5
2	-1	-1	1	1	1	3470
2	-1	1	-1	-1	-1	4020
2	-1	1	-1	1	1	4432.5
2	-1	1	1	-1	1	3682.5
2	-1	1	1	1	-1	3382.5
2	1	-1	-1	-1	-1	1595
2	1	-1	-1	1	1	2082.5
2	1	-1	1	-1	1	2682.5
2	1	-1	1	1	-1	2582.5
2	1	1	-1	-1	1	3270
2	1	1	-1	1	-1	3070
2	1	1	1	-1	-1	2607.5
2	1	1	1	1	1	3870
