rept	bloco	dens	espac	adub	prod
1	1	1	1	1	3187
1	1	0	0	0	2168
1	2	0	1	1	3053
1	2	1	0	0	1985
1	3	1	0	1	2820
1	3	0	1	0	3052
1	4	0	0	1	2783
1	4	1	1	0	1951
2	1	1	1	1	3493
2	1	0	0	0	2732
2	2	0	1	1	3089
2	2	1	0	0	2556
2	3	1	0	1	2514
2	3	0	1	0	3841
2	4	0	0	1	3499
2	4	1	1	0	2416
3	1	1	1	1	2232
3	1	0	0	0	2702
3	2	0	1	1	2927
3	2	1	0	0	1908
3	3	1	0	1	2438
3	3	0	1	0	2648
3	4	0	0	1	2616
3	4	1	1	0	2288
4	1	1	1	1	3527
4	1	0	0	0	2526
4	2	0	1	1	2856
4	2	1	0	0	2048
4	3	1	0	1	3400
4	3	0	1	0	2644
4	4	0	0	1	3077
4	4	1	1	0	2635
