linha	coluna	cult	prod
1	1	Bonanca	79
2	1	CNAs8952	53
3	1	CNAs8960	27
4	1	CNAs8938	30
5	1	CNAs8711	31
6	1	CNAs8817	39
1	2	CNAs8938	44
2	2	CNAs8960	71
3	2	Bonanca	88
4	2	CNAs8711	66
5	2	CNAs8817	48
6	2	CNAs8952	58
1	3	CNAs8817	67
2	3	CNAs8938	67
3	3	CNAs8711	39
4	3	CNAs8952	58
5	3	CNAs8960	10
6	3	Bonanca	90
1	4	CNAs8711	20
2	4	Bonanca	98
3	4	CNAs8938	55
4	4	CNAs8817	49
5	4	CNAs8952	10
6	4	CNAs8960	33
1	5	CNAs8952	83
2	5	CNAs8711	19
3	5	CNAs8817	66
4	5	CNAs8960	12
5	5	Bonanca	62
6	5	CNAs8938	79
1	6	CNAs8960	30
2	6	CNAs8817	50
3	6	CNAs8952	67
4	6	Bonanca	36
5	6	CNAs8938	52
6	6	CNAs8711	43
