bloc	cult	stand	prod
1	CNFP 8018	95	1587.5
1	CNFP 8019	124	2012.5
1	CNFP 8020	106	1975
1	CNFP 8021	92	1837.5
1	CNFP 8022	101	1825
1	CNFP 8023	98	2250
1	G. Brilhante	103	2112.5
2	CNFP 8018	103	2412.5
2	CNFP 8019	114	2075
2	CNFP 8020	116	1787.5
2	CNFP 8021	101	2137.5
2	CNFP 8022	115	2100
2	CNFP 8023	112	2062.5
2	G. Brilhante	108	2137.5
3	CNFP 8018	91	2100
3	CNFP 8019	106	2087.5
3	CNFP 8020	111	2225
3	CNFP 8021	90	2050
3	CNFP 8022	98	1375
3	CNFP 8023	92	1950
3	G. Brilhante	86	2450
4	CNFP 8018	90	1912.5
4	CNFP 8019	88	1862.5
4	CNFP 8020	101	1950
4	CNFP 8021	118	2587.5
4	CNFP 8022	92	1450
4	CNFP 8023	77	1637.5
4	G. Brilhante	92	2237.5
