rept	bloco	cult	dias	posto
1	1	1	95	4.5
1	1	2	84	3
1	1	3	95	4.5
1	1	4	81	1.5
1	1	5	81	1.5
1	2	6	102	5
1	2	7	89	3
1	2	8	101	4
1	2	9	77	1
1	2	10	79	2
1	3	11	112	5
1	3	12	103	3
1	3	13	102	2
1	3	14	108	4
1	3	15	100	1
1	4	16	102	4
1	4	17	110	5
1	4	18	95	3
1	4	19	83	2
1	4	20	81	1
1	5	21	82	2
1	5	22	104	5
1	5	23	102	4
1	5	24	79	1
1	5	25	87	3
2	1	1	78	1
2	1	6	103	4
2	1	11	107	5
2	1	16	99	3
2	1	21	79	2
2	2	2	83	1.5
2	2	7	83	1.5
2	2	12	103	4
2	2	17	104	5
2	2	22	100	3
2	3	3	94	2
2	3	8	102	5
2	3	13	101	4
2	3	18	83	1
2	3	23	99	3
2	4	4	81	3
2	4	9	74	1
2	4	14	107	5
2	4	19	80	2
2	4	24	82	4
2	5	5	77	2.5
2	5	10	75	1
2	5	15	101	5
2	5	20	77	2.5
2	5	25	84	4
3	1	2	94	3
3	1	8	100	4
3	1	14	110	5
3	1	20	79	1
3	1	21	81	2
3	2	3	91	2
3	2	9	74	1
3	2	15	101	4
3	2	16	98	3
3	2	22	107	5
3	3	4	79	2
3	3	10	75	1
3	3	11	105	5
3	3	17	104	4
3	3	23	100	3
3	4	5	75	1
3	4	6	102	4
3	4	12	103	5
3	4	18	84	3
3	4	24	76	2
3	5	1	81	2
3	5	7	86	4
3	5	13	101	5
3	5	19	78	1
3	5	25	82	3
