trat	planta	vaso	prod
1	1	1	2.17
2	1	1	3.26
3	1	1	0.99
4	1	1	0.83
5	1	1	1.57
1	2	1	1.63
2	2	1	1.27
3	2	1	0.32
4	2	1	0.93
5	2	1	1.07
1	3	1	4.69
2	3	1	1.21
3	3	1	0.02
4	3	1	0.58
5	3	1	0.48
1	1	2	0.99
2	1	2	2.19
3	1	2	1.37
4	1	2	0.36
5	1	2	1.3
1	2	2	2.21
2	2	2	2.44
3	2	2	1.27
4	2	2	2.38
5	2	2	1.11
1	3	2	2.04
2	3	2	1.13
3	3	2	1.1
4	3	2	3.97
5	3	2	1.35
1	1	3	2.32
2	1	3	3.22
3	1	3	0.64
4	1	3	3.57
5	1	3	1.88
1	2	3	1.49
2	2	3	2.95
3	2	3	0.58
4	2	3	1.62
5	2	3	1.13
1	3	3	3.63
2	3	3	1.92
3	3	3	0.98
4	3	3	4.5
5	3	3	0.92
1	1	4	2.51
2	1	4	1.34
3	1	4	0.87
4	1	4	2.18
5	1	4	1.39
1	2	4	3.76
2	2	4	2.1
3	2	4	0.47
4	2	4	3.51
5	2	4	1
1	3	4	4.33
2	3	4	1.37
3	3	4	0.55
4	3	4	2.91
5	3	4	2.01
1	1	5	3.36
2	1	5	3.23
3	1	5	0.34
4	1	5	0.55
5	1	5	1.35
1	2	5	3.63
2	2	5	1.15
3	2	5	0.86
4	2	5	0.43
5	2	5	1.86
1	3	5	2.37
2	3	5	1.14
3	3	5	2
4	3	5	0.61
5	3	5	2.63
