linha	coluna	inset	amostra	prop
1	1	2	1	0.9
2	1	6	1	0.7368
3	1	3	1	0.9184
4	1	7	1	1
5	1	4	1	0.8621
6	1	11	1	0.88
7	1	10	1	0.77
8	1	5	1	0.775
9	1	1	1	0.9091
10	1	8	1	0.9474
11	1	9	1	0.92
1	2	11	1	0.913
2	2	3	1	0.9524
3	2	8	1	0.875
4	2	9	1	1
5	2	1	1	0.8525
6	2	7	1	1
7	2	6	1	0.8525
8	2	4	1	0.9273
9	2	5	1	0.8
10	2	2	1	0.8974
11	2	10	1	0.7647
1	3	10	1	0.873
2	3	11	1	0.9821
3	3	1	1	0.8182
4	3	2	1	1
5	3	6	1	0.8793
6	3	5	1	0.8298
7	3	9	1	0.94
8	3	8	1	0.9167
9	3	7	1	1
10	3	4	1	0.8615
11	3	3	1	1
1	4	9	1	0.9394
2	4	5	1	0.9744
3	4	6	1	0.7273
4	4	3	1	0.9867
5	4	11	1	0.9524
6	4	4	1	0.9667
7	4	1	1	0.8293
8	4	2	1	0.9846
9	4	8	1	0.8421
10	4	10	1	0.7813
11	4	7	1	0.9318
1	5	5	1	0.8929
2	5	8	1	0.9375
3	5	9	1	0.9
4	5	6	1	0.9556
5	5	10	1	0.9811
6	5	2	1	0.8421
7	5	11	1	0.9123
8	5	7	1	0.9583
9	5	4	1	0.8824
10	5	3	1	0.8983
11	5	1	1	0.9615
1	6	4	1	0.9149
2	6	2	1	0.9362
3	6	10	1	0.925
4	6	11	1	0.9841
5	6	8	1	0.8971
6	6	1	1	0.8364
7	6	7	1	0.9189
8	6	3	1	0.9605
9	6	9	1	1
10	6	5	1	0.9048
11	6	6	1	0.7059
1	7	6	1	0.8571
2	7	10	1	0.9556
3	7	11	1	0.9483
4	7	5	1	0.939
5	7	2	1	0.8677
6	7	9	1	0.9048
7	7	8	1	0.9811
8	7	1	1	0.9643
9	7	3	1	0.9677
10	7	7	1	0.8793
11	7	4	1	0.9344
1	8	8	1	0.9783
