linha	coluna	prod	geno
2	1	618.75	B
3	1	1176.25	C
4	1	852.5	D
5	1	700	E
6	1	1003.75	F
7	1	1395	G
8	1	1991.3	H
1	2	1481.25	D
2	2	1251.25	E
3	2	1742.5	F
4	2	1680	G
5	2	1897.5	H
6	2	1726.25	A
7	2	313.75	B
8	2	1427.5	C
1	3	586.25	G
2	3	822.5	H
3	3	748.75	A
4	3	317.5	B
5	3	1096.25	C
6	3	2148.75	D
7	3	1543.75	E
8	3	936.25	F
1	4	708.75	C
2	4	846.25	D
3	4	716.25	E
4	4	1038.75	F
5	4	945	G
6	4	855	H
7	4	1421.25	A
8	4	307.5	B
1	5	1193.75	F
2	5	1051.25	G
3	5	952.5	H
4	5	1326.25	A
5	5	216.25	B
6	5	487.5	C
7	5	1627.5	D
8	5	1202.5	E
1	6	825	E
2	6	1070	F
3	6	1470	G
4	6	1250	H
5	6	1767.5	A
6	6	237.5	B
7	6	1367.5	C
8	6	1395	D
1	7	1856.25	H
2	7	1126.25	A
3	7	377.5	B
4	7	962.5	C
5	7	1682.5	D
6	7	1198.75	E
7	7	1283.75	F
8	7	995	G
1	8	697.5	B
2	8	1301.25	C
3	8	1162.5	D
4	8	738.75	E
5	8	1416.25	F
6	8	1498.75	G
7	8	1728.75	H
8	8	1335	A
