rept	bloc	cult	prod
1	1	17	1875
1	1	20	2125
1	1	16	2250
1	1	19	1562.5
1	1	18	843.75
1	2	10	937.5
1	2	9	2093.75
1	2	7	3000
1	2	8	2843.75
1	2	6	2625
1	3	4	1531.25
1	3	2	1531.25
1	3	5	2031.25
1	3	1	1843.75
1	3	3	1562.5
1	4	15	2750
1	4	13	2187.5
1	4	12	2187.5
1	4	14	2312.5
1	4	11	1937.5
1	5	21	1031.25
1	5	22	1968.75
1	5	24	2500
1	5	23	1875
1	5	25	1875
2	1	24	1718.75
2	1	9	2156.25
2	1	4	1812.5
2	1	19	1875
2	1	14	2343.75
2	2	5	2343.75
2	2	15	2656.25
2	2	25	2125
2	2	20	2468.75
2	2	10	2250
2	3	1	3125
2	3	16	3468.75
2	3	6	2500
2	3	11	2437.5
2	3	21	1843.75
2	4	12	2500
2	4	2	3156.25
2	4	7	4000
2	4	22	3062.5
2	4	17	3125
2	5	13	2843.75
2	5	18	2500
2	5	23	2500
2	5	3	1625
2	5	8	2468.75
3	1	22	1625
3	1	9	1562.5
3	1	15	2843.75
3	1	3	1875
3	1	16	2812.5
3	2	18	1593.75
3	2	6	2875
3	2	12	2937.5
3	2	24	3750
3	2	5	3218.75
3	3	17	3312.5
3	3	11	3031.25
3	3	10	2500
3	3	4	1936.25
3	3	23	2531.25
3	4	7	3750
3	4	13	2593.75
3	4	25	2500
3	4	1	2812.5
3	4	19	2375
3	5	21	1375
3	5	20	1718.75
3	5	8	2531.25
3	5	2	1250
3	5	14	1687.5
