rept	bloco	prod
5	X1	4256.32
1	X1	4628.45
4	X1	4889.94
3	X1	3713.22
2	X1	4602.3
10	X2	5710.34
9	X2	5974.71
6	X2	4236.21
8	X2	5622.13
7	X2	5386.78
15	X3	7164.94
13	X3	4150.57
12	X3	4994.54
11	X3	5543.68
14	X3	5017.24
20	X4	4916.09
17	X4	6439.66
16	X4	5517.53
18	X4	5517.53
19	X4	5256.03
21	X5	5612.07
25	X5	5177.59
23	X5	4758.62
24	X5	5595.98
22	X5	5151.44
30	X6	6929.6
29	X6	4445.4
28	X6	7243.39
26	X6	3516.09
27	X6	4393.1
21	Y1	5181.61
11	Y1	4968.39
26	Y1	4445.4
6	Y1	5445.98
16	Y1	5962.07
1	Y2	4573.56
22	Y2	5181.61
12	Y2	5657.47
17	Y2	6529.89
27	Y2	4785.34
7	Y3	6197.41
28	Y3	7217.24
23	Y3	4520.69
2	Y3	5334.48
18	Y3	5525.29
24	Y4	6275.86
8	Y4	5710.34
3	Y4	5287.36
29	Y4	5909.77
13	Y4	6344.83
14	Y5	6066.67
30	Y5	7086.49
19	Y5	6397.7
4	Y5	3739.37
9	Y5	5419.54
10	Y6	5419.54
25	Y6	5049.43
15	Y6	5419.54
5	Y6	3859.77
20	Y6	5948.28
7	Z1	5282.18
27	Z1	5177.59
13	Z1	4445.4
25	Z1	6249.71
19	Z1	6537.36
29	Z2	5831.32
14	Z2	5099.14
16	Z2	6589.66
23	Z2	4629.31
5	Z2	4282.76
1	Z3	6223.56
21	Z3	5726.72
30	Z3	6979.31
8	Z3	6118.97
20	Z3	5700.57
22	Z4	4229.89
2	Z4	4994.54
26	Z4	3164.08
15	Z4	6825
9	Z4	5445.98
3	Z5	3556.32
11	Z5	4441.38
17	Z5	5075.86
10	Z5	4236.21
28	Z5	7687.93
12	Z6	5525.29
6	Z6	5831.32
24	Z6	5818.97
18	Z6	5974.71
4	Z6	4863.79
