bloc	linh	prod
1	9	761
1	5	1516
1	8	1692
1	3	1563
1	4	2019
1	1	2003
1	2	1671
1	6	1245
1	7	1203
2	21	1536
2	20	1888
2	2	1838
2	3	1818
2	4	2210
2	1	1866
2	17	1786
2	18	1756
2	19	2037
3	30	1052
3	1	1695
3	29	1080
3	31	1443
3	2	1472
3	4	1745
3	3	1680
3	32	1123
3	33	1632
4	2	1113
4	41	1357
4	42	1219
4	45	1135
4	43	1076
4	44	1384
4	3	1516
4	1	1773
4	4	1881
5	3	1959
5	57	1503
5	1	2085
5	2	1454
5	4	1837
5	53	1873
5	55	1243
5	54	1212
5	56	1509
6	67	1414
6	65	1279
6	4	2077
6	68	1586
6	1	1846
6	69	1956
6	3	1775
6	2	1728
6	66	1546
7	80	2213
7	2	1930
7	79	2653
7	3	2054
7	78	2361
7	81	1812
7	1	1849
7	77	1885
7	4	1835
8	90	1145
8	91	1194
8	89	1920
8	2	1415
8	3	1589
8	92	1138
8	1	1840
8	4	2062
8	93	1418
9	3	1894
9	1	1695
9	102	1885
9	101	1433
9	105	1803
9	104	1451
9	4	1975
9	103	1879
9	2	1675
10	115	2356
10	114	1450
10	4	2191
10	117	2351
10	2	1687
10	113	2180
10	1	1757
10	3	1879
10	116	1605
