epoca	pota	nitr	rept	prod
1	1	1	1	1066.31
2	1	1	1	1022.19
3	1	1	1	1137.93
1	2	1	1	922.84
2	2	1	1	1056.45
3	2	1	1	747.22
1	3	1	1	914.94
2	3	1	1	718.15
3	3	1	1	671.6
1	1	2	1	1090.63
2	1	2	1	1508.95
3	1	2	1	1003.57
1	2	2	1	1108.57
2	2	2	1	974.27
3	2	2	1	1518.25
1	3	2	1	1494
2	3	2	1	875.19
3	3	2	1	1387.65
1	1	3	1	826.87
2	1	3	1	1394.67
3	1	3	1	871.14
1	2	3	1	788.42
2	2	3	1	1074.87
3	2	3	1	910.33
1	3	3	1	913.07
2	3	3	1	1057.2
3	3	3	1	1452.94
1	1	1	2	886.36
2	1	1	2	841.58
3	1	1	2	1393.92
1	2	1	2	943.84
2	2	1	2	506.26
3	2	1	2	697.66
1	3	1	2	858.15
2	3	1	2	860.4
3	3	1	2	1050.53
1	1	2	2	882.44
2	1	2	2	1352.49
3	1	2	2	887.54
1	2	2	2	1759.42
2	2	2	2	1242.17
3	2	2	2	1331.46
1	3	2	2	1001.68
2	3	2	2	411.64
3	3	2	2	1368.2
1	1	3	2	1958.82
2	1	3	2	964.25
3	1	3	2	1031.83
1	2	3	2	530.53
2	2	3	2	554.86
3	2	3	2	936.04
1	3	3	2	1318.21
2	3	3	2	786.19
3	3	3	2	1454.63
1	1	1	3	1125.69
2	1	1	3	1509.76
3	1	1	3	1259.35
1	2	1	3	1454.8
2	2	1	3	983.85
3	2	1	3	783.39
1	3	1	3	719.37
2	3	1	3	603.87
3	3	1	3	784.58
1	1	2	3	1067.93
2	1	2	3	901.28
3	1	2	3	742.91
1	2	2	3	660.58
2	2	2	3	716.86
3	2	2	3	1048.17
1	3	2	3	1941.66
2	3	2	3	825.1
3	3	2	3	810.17
1	1	3	3	986.09
2	1	3	3	1126.04
3	1	3	3	1472.08
1	2	3	3	916.45
2	2	3	3	754.31
3	2	3	3	760.7
1	3	3	3	998.53
2	3	3	3	978.79
3	3	3	3	1654.82
